Node_Name;Adipose_Tissue_Control.merged.fastq.rma6;AT_Mock_1_1000000.merged.fastq.rma6;AT_Mock_1_100000.merged.fastq.rma6;AT_Mock_1_10000.merged.fastq.rma6;AT_Mock_1_1000.merged.fastq.rma6;AT_Mock_1_100.merged.fastq.rma6;AT_Mock_1_50_1.merged.fastq.rma6;AT_Mock_1_50_2.merged.fastq.rma6;AT_Mock_1_50_3.merged.fastq.rma6;AT_Mock_1_50_4.merged.fastq.rma6;AT_Mock_1_50.merged.fastq.rma6;Hepatology_High_1.merged.fastq.rma6;Hepatology_High_2.merged.fastq.rma6;Hepatology_Low_1.merged.fastq.rma6;Hepatology_Low_2.merged.fastq.rma6;patient_1_AT.merged.fastq.rma6;patient_1_blood.merged.fastq.rma6;patient_1_stool.merged.fastq.rma6;patient_2_AT.merged.fastq.rma6;patient_2_blood.merged.fastq.rma6;patient_2_stool.merged.fastq.rma6
Total_Count;1211901;1299368;1482367;2328850;3541371;4305827;4612600;2608;5062366;4369517;4667667;1128599;1479091;1274871;1447265;229674;1570079;5814296;865114;1690045;8122363
Eukaryotes;9394755;10778798;9800642;8069528;5973289;6249379;5862774;2706;4925570;5059976;5511812;9053652;8050448;9438721;9610480;8897459;10620024;199396;6333638;10926652;152176
Vertebrates;8928750;10354769;9411225;7768222;5798923;6089147;5306522;2506;4788241;4901024;5361351;8684125;7713026;9075985;9165973;8662612;10143274;178167;6053768;10457549;102149
Bacteria;16515;46227;247772;1430479;3052184;3936934;2330927;2368;4659387;3977170;4348187;92931;651301;186272;83327;12788;111412;6130522;68240;232692;8936158
Unassigend;89058;100950;155199;188570;340319;412414;251144;191;481851;417437;455699;76738;104837;88197;78740;27074;89728;246;55152;99609;526652
Total_Reads;10237169;11852390;10451569;10735991;11090570;11950568;9261439;8325;11408798;10681764;11658786;10236755;9686135;10808599;10839797;9857852;12032996;9932409;7157760;12508957;13337805
