Node_Name;Adipose_Tissue_Control.merged.fastq.rma6;AT_Mock_1_1000000.merged.fastq.rma6;AT_Mock_1_100000.merged.fastq.rma6;AT_Mock_1_10000.merged.fastq.rma6;AT_Mock_1_1000.merged.fastq.rma6;AT_Mock_1_100.merged.fastq.rma6;AT_Mock_1_50_1.merged.fastq.rma6;AT_Mock_1_50_2.merged.fastq.rma6;AT_Mock_1_50_3.merged.fastq.rma6;AT_Mock_1_50_4.merged.fastq.rma6;AT_Mock_1_50.merged.fastq.rma6;Hepatology_High_1.merged.fastq.rma6;Hepatology_High_2.merged.fastq.rma6;Hepatology_Low_1.merged.fastq.rma6;Hepatology_Low_2.merged.fastq.rma6;patient_1_AT.merged.fastq.rma6;patient_1_blood.merged.fastq.rma6;patient_1_stool.merged.fastq.rma6;patient_2_AT.merged.fastq.rma6;patient_2_blood.merged.fastq.rma6;patient_2_stool.merged.fastq.rma6
Eukaryota;3191;3862;2791;3551;3070;3019;3580;0;2664;4284;3213;3508;4501;4187;4135;4648;3141;187;0;6432;297
Vertebrata;1690;2149;1528;1891;1661;1596;1940;0;1526;2296;1779;2052;2524;2365;2388;2586;1836;3;0;3639;41
Bacteria;81;79;60;89;72;151;363;5;240;441;355;61;143;88;90;82;76;13962;0;141;18275
Unassigend;3113;3787;2774;3528;3127;3065;3359;2;2705;4267;3222;3620;4748;4576;3587;3955;2707;4890;0;5914;5418
Total_Count;6504;7894;5740;7305;6378;6373;7452;9;5736;9182;6955;7317;9582;9028;7995;8850;6067;25763;0;12748;26944
Total_Reads;7288622;8658286;6210882;8029771;6919227;6753267;7425686;3451;5791049;9125313;7091158;7849869;10420403;10290709;7486783;7988395;5601649;8215062;486;13051352;7812722
NumberOfLines;29154488;34633144;24843528;32119084;27676908;27013068;29702744;13804;23164196;36501252;28364632;31399476;41681612;41162836;29947132;31953580;22406596;32860248;1944;52205408;31250888
