Node_Name;Adipose_Tissue_Control.merged.fastq.rma6;AT_Mock_1_1000000.merged.fastq.rma6;AT_Mock_1_100000.merged.fastq.rma6;AT_Mock_1_10000.merged.fastq.rma6;AT_Mock_1_1000.merged.fastq.rma6;AT_Mock_1_100.merged.fastq.rma6;AT_Mock_1_50_1.merged.fastq.rma6;AT_Mock_1_50_2.merged.fastq.rma6;AT_Mock_1_50_3.merged.fastq.rma6;AT_Mock_1_50_4.merged.fastq.rma6;AT_Mock_1_50.merged.fastq.rma6;Hepatology_High_1.merged.fastq.rma6;Hepatology_High_2.merged.fastq.rma6;Hepatology_Low_1.merged.fastq.rma6;Hepatology_Low_2.merged.fastq.rma6;patient_1_AT.merged.fastq.rma6;patient_1_blood.merged.fastq.rma6;patient_1_stool.merged.fastq.rma6;patient_2_AT.merged.fastq.rma6;patient_2_blood.merged.fastq.rma6;patient_2_stool.merged.fastq.rma6
Total_Count;1211901;1299368;1482367;2328850;3541371;4305827;4612600;2608;5062366;4369517;4667667;1128599;1479091;1274871;1447265;229674;1570079;5814296;865114;1690045;8122363
Eukaryota;1038544;1073460;1052008;703496;239729;110581;2129218;208;111294;155859;77349;894027;781228;943842;1218335;178341;1297137;553;703400;1295738;17264
Vertebrata;521929;525418;526206;336688;101998;42354;1874370;107;47179;93858;27188;468328;392594;486829;675321;74218;711772;46;369344;722489;210
Bacteria;9191;43759;227718;1246563;2684400;3497978;2020581;1657;4076019;3435449;3730015;82743;493884;157542;65116;5704;92580;2437093;47518;183029;5471583
Unassigend;113809;124268;128271;165388;249108;285865;173181;161;338716;296803;317162;96726;132901;108406;108661;30754;12275;294732;71922;124463;518915
Total_Reads;10237169;11852390;10451569;10735991;11090570;11950568;9261439;8325;11408798;10681764;11658786;10236755;9686135;10808599;10839797;9857852;12032996;9932409;7157760;12508957;13337805
